-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  31.1   longitude 77.17 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 897.65 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M,RH2M,WS2M
2015,5,5,0.0,27.53,31.09,2.21
2015,5,6,0.0,29.23,31.1,2.13
2015,5,7,0.0,30.18,31.8,2.02
2015,5,8,0.0,30.27,30.72,2.0
2015,5,9,0.0,30.23,29.47,1.74
2015,5,10,0.48,30.57,32.49,1.99
2015,5,11,2.59,30.15,34.95,2.0
2015,5,12,1.53,28.14,40.34,1.93
2015,5,13,0.22,28.22,35.88,1.75
2015,5,14,0.6,26.76,42.13,1.86
2015,5,15,1.51,26.52,47.51,1.61
2015,5,16,0.17,28.35,39.88,1.97
2015,5,17,0.0,28.81,36.1,1.79
2015,5,18,0.0,30.71,35.46,1.91
2015,5,19,0.24,30.61,32.05,2.62
2015,5,20,0.03,29.63,26.48,2.81
2015,5,21,0.0,29.75,27.62,3.02
2015,5,22,0.0,30.89,23.93,2.82
2015,5,23,0.0,31.81,24.25,2.24
2015,5,24,0.0,32.4,21.96,2.29
2015,5,25,0.0,32.22,20.1,2.42
2015,5,26,0.0,30.99,19.61,3.04
2015,5,27,0.0,29.81,17.73,2.16
2015,5,28,0.0,29.95,18.71,2.0
2015,5,29,0.0,31.1,21.54,2.32
2015,5,30,0.0,30.78,26.66,2.44
2015,5,31,0.06,30.4,25.83,1.91
2015,6,1,0.14,30.12,24.58,1.82
2015,6,2,0.07,27.98,32.23,1.6
2015,6,3,0.2,29.24,30.8,2.23
2015,6,4,8.03,27.72,44.07,1.41
2015,6,5,0.58,28.97,41.09,2.16
2015,6,6,0.0,29.6,33.65,2.49
2015,6,7,0.0,31.24,26.93,2.03
2015,6,8,0.37,32.67,23.42,2.36
2015,6,9,0.15,32.61,24.8,2.71
2015,6,10,0.39,31.26,34.62,2.86
2015,6,11,0.39,31.41,33.53,3.3
2015,6,12,0.04,31.53,28.53,3.04
2015,6,13,2.53,31.9,31.05,2.58
2015,6,14,4.0,28.31,48.09,2.46
2015,6,15,0.99,28.22,50.52,1.69
2015,6,16,0.01,30.34,39.02,2.25
2015,6,17,0.13,31.32,37.37,2.54
2015,6,18,1.35,32.32,36.4,1.95
2015,6,19,3.46,32.05,39.64,1.76
2015,6,20,5.81,29.98,46.25,2.01
2015,6,21,28.43,30.24,52.01,1.57
2015,6,22,1.57,30.04,47.32,2.08
2015,6,23,3.28,29.02,50.59,1.67
2015,6,24,7.4,29.54,52.55,1.9
2015,6,25,12.47,26.0,64.95,1.47
2015,6,26,0.01,28.09,43.17,2.86
2015,6,27,0.03,29.0,39.84,2.63
2015,6,28,3.6,30.64,38.24,2.08
2015,6,29,28.69,29.11,55.12,1.98
2015,6,30,7.22,28.55,55.3,1.61
2015,7,1,0.93,28.76,51.94,1.55
2015,7,2,2.44,28.39,54.48,1.78
2015,7,3,0.45,29.73,52.94,2.2
2015,7,4,6.88,29.91,58.24,2.0
2015,7,5,17.77,29.72,63.98,1.89
2015,7,6,26.26,27.88,70.73,1.38
2015,7,7,7.53,25.78,79.49,1.34
2015,7,8,15.81,26.01,77.42,1.71
2015,7,9,5.98,26.98,73.64,1.73
2015,7,10,23.81,26.04,77.47,1.95
2015,7,11,44.82,24.96,77.83,1.18
2015,7,12,63.15,25.84,77.83,1.22
2015,7,13,36.99,25.53,83.7,1.11
2015,7,14,1.32,26.01,82.52,1.6
2015,7,15,2.5,27.03,77.66,1.76
2015,7,16,20.74,27.34,77.26,1.64
2015,7,17,32.16,25.64,86.27,1.31
2015,7,18,21.19,25.32,86.79,1.66
2015,7,19,6.46,25.02,84.44,1.19
2015,7,20,1.01,25.46,82.07,1.44
2015,7,21,7.37,25.73,83.35,1.12
2015,7,22,0.88,25.45,86.45,1.63
2015,7,23,2.22,24.86,88.9,1.26
2015,7,24,1.04,25.02,88.15,1.53
2015,7,25,11.76,25.35,88.69,1.5
2015,7,26,9.91,25.53,87.53,1.24
2015,7,27,2.95,25.23,87.41,1.55
2015,7,28,4.63,24.98,85.26,1.84
2015,7,29,0.0,25.12,83.51,1.73
2015,7,30,0.75,25.09,86.07,1.87
2015,7,31,11.01,24.75,87.02,1.99
2015,8,1,11.39,24.45,87.98,2.2
2015,8,2,0.71,24.33,87.19,1.79
2015,8,3,1.62,25.42,81.72,1.19
2015,8,4,0.25,26.23,80.74,1.36
2015,8,5,0.82,26.36,80.31,1.64
2015,8,6,15.85,25.82,83.59,1.35
2015,8,7,24.19,25.2,88.88,1.14
2015,8,8,15.25,25.28,86.17,1.34
2015,8,9,6.07,25.89,82.22,1.28
2015,8,10,3.17,26.44,76.43,1.21
2015,8,11,2.71,25.99,77.84,1.17
2015,8,12,6.68,24.55,87.55,1.21
2015,8,13,5.78,25.7,83.33,1.27
2015,8,14,1.4,26.18,81.47,1.35
2015,8,15,10.6,25.59,88.21,1.7
2015,8,16,3.86,25.01,87.15,1.29
2015,8,17,13.71,24.92,83.06,1.83
2015,8,18,12.57,25.99,76.22,1.61
2015,8,19,11.16,25.36,80.27,1.62
2015,8,20,23.63,24.93,83.1,1.45
2015,8,21,23.7,24.53,85.7,1.48
2015,8,22,23.44,23.88,87.07,1.64
2015,8,23,8.78,24.23,81.72,1.52
2015,8,24,4.38,24.31,83.84,1.93
2015,8,25,0.0,24.58,78.16,2.06
2015,8,26,0.0,25.18,76.3,1.8
2015,8,27,1.92,25.62,74.79,1.54
2015,8,28,1.04,25.44,74.72,1.46
2015,8,29,1.0,25.0,78.07,1.78
2015,8,30,4.6,25.5,74.47,1.95
2015,8,31,2.27,24.8,73.16,1.89
2015,9,1,0.36,24.86,67.32,1.9
2015,9,2,5.09,25.06,61.83,1.62
2015,9,3,1.96,24.88,63.69,1.34
2015,9,4,0.01,24.64,61.71,1.67
2015,9,5,0.0,24.28,63.67,1.64
2015,9,6,0.0,24.22,60.89,1.55
2015,9,7,0.0,24.07,61.36,1.76
2015,9,8,0.0,24.35,61.48,1.86
2015,9,9,0.0,24.82,61.69,1.94
2015,9,10,0.0,24.62,59.89,1.78
2015,9,11,0.0,24.61,57.49,1.67
2015,9,12,0.0,25.33,53.95,1.51
2015,9,13,0.0,25.16,55.73,1.49
2015,9,14,0.0,25.96,56.14,1.56
2015,9,15,1.98,26.59,51.4,1.28
2015,9,16,1.73,25.66,54.29,1.32
2015,9,17,0.13,25.09,57.48,1.23
2015,9,18,0.44,25.77,55.82,1.03
2015,9,19,9.01,24.06,72.01,0.86
2015,9,20,35.45,24.72,79.9,1.27
2015,9,21,1.94,25.39,73.08,1.25
2015,9,22,17.06,23.86,84.2,2.05
2015,9,23,4.39,22.09,86.68,1.83
2015,9,24,0.0,21.4,80.16,1.91
2015,9,25,0.0,22.3,72.34,1.6
2015,9,26,0.05,23.3,64.12,1.37
2015,9,27,0.01,22.74,65.29,1.55
2015,9,28,0.01,22.18,63.92,1.81
2015,9,29,0.0,22.58,59.71,1.82
2015,9,30,0.0,22.34,58.75,1.81
2015,10,1,0.0,23.17,51.76,1.65
2015,10,2,0.0,23.25,50.28,1.81
2015,10,3,0.0,23.59,49.77,1.83
2015,10,4,0.0,23.53,50.26,1.27
2015,10,5,0.0,23.1,52.02,1.39
2015,10,6,0.0,22.86,54.56,1.66
2015,10,7,0.0,23.1,54.65,1.78
2015,10,8,0.0,23.27,53.25,1.84
2015,10,9,0.0,23.96,49.96,1.62
2015,10,10,0.0,24.08,49.21,1.41
2015,10,11,0.0,23.85,51.39,1.4
2015,10,12,2.27,23.69,57.79,1.22
2015,10,13,1.17,23.15,66.86,1.08
2015,10,14,5.76,21.91,73.02,1.12
2015,10,15,0.11,21.57,68.61,1.19
2015,10,16,0.0,21.73,64.56,1.42
2015,10,17,0.0,21.73,58.16,1.6
2015,10,18,0.04,22.86,52.86,1.36
2015,10,19,0.01,22.92,53.28,1.62
2015,10,20,0.0,22.52,52.22,1.46
2015,10,21,0.0,21.22,47.93,1.4
2015,10,22,0.0,20.5,46.59,1.59
2015,10,23,0.0,20.1,45.48,1.71
2015,10,24,0.09,20.59,41.63,1.17
2015,10,25,0.8,20.65,46.74,1.51
2015,10,26,3.15,19.73,51.3,1.44
2015,10,27,0.28,18.58,52.89,1.41
2015,10,28,0.07,18.57,51.43,1.35
2015,10,29,0.01,18.62,49.8,1.65
2015,10,30,0.0,17.9,43.74,1.58
2015,10,31,0.0,19.29,44.29,1.53
2015,11,1,0.0,18.9,49.02,1.52
2015,11,2,0.0,19.2,52.91,1.36
2015,11,3,0.01,19.2,52.68,1.38
2015,11,4,0.28,18.95,51.14,1.41
2015,11,5,2.23,19.02,51.92,1.36
2015,11,6,0.04,19.25,45.53,1.29
2015,11,7,0.0,17.9,45.13,1.48
2015,11,8,0.05,17.98,47.93,1.51
2015,11,9,0.0,18.45,48.74,1.38
2015,11,10,0.0,18.26,48.65,1.35
2015,11,11,0.0,17.01,52.78,2.08
2015,11,12,0.0,18.21,47.82,1.75
2015,11,13,0.01,19.39,51.94,2.25
2015,11,14,0.0,18.21,53.26,2.0
2015,11,15,0.0,17.98,46.79,1.73
2015,11,16,0.01,16.87,48.93,1.97
2015,11,17,0.0,16.77,40.11,1.9
2015,11,18,0.0,16.86,35.32,1.71
2015,11,19,0.0,17.14,35.11,1.49
2015,11,20,0.0,17.65,38.77,1.43
2015,11,21,0.0,18.2,39.66,1.43
2015,11,22,0.0,17.65,39.5,1.55
2015,11,23,0.0,16.65,39.46,1.11
2015,11,24,0.0,16.49,38.59,1.62
2015,11,25,0.0,16.31,38.36,1.83
2015,11,26,0.77,16.92,44.39,1.58
2015,11,27,0.71,15.43,56.95,1.15
2015,11,28,0.18,16.2,60.17,1.4
2015,11,29,0.0,16.42,56.62,1.61
2015,11,30,0.0,17.31,53.46,1.41
2015,12,1,0.0,16.57,49.2,1.6
2015,12,2,0.0,15.8,50.42,1.45
2015,12,3,0.0,15.02,50.37,2.02
2015,12,4,0.0,15.38,41.59,1.56
2015,12,5,0.0,15.96,40.41,1.46
2015,12,6,0.0,15.87,39.25,1.21
2015,12,7,0.0,15.65,40.06,1.27
2015,12,8,0.0,15.97,41.01,1.29
2015,12,9,0.0,14.38,41.95,1.84
2015,12,10,0.86,14.52,47.08,2.16
2015,12,11,15.41,12.24,69.24,1.86
2015,12,12,1.28,12.16,65.45,1.06
2015,12,13,0.0,11.95,52.71,1.31
2015,12,14,0.0,10.83,47.6,1.77
2015,12,15,0.0,11.37,43.68,1.77
2015,12,16,0.0,12.32,34.87,1.47
2015,12,17,0.2,10.65,38.0,1.41
2015,12,18,0.0,9.45,39.7,2.04
2015,12,19,0.0,11.08,34.13,1.6
2015,12,20,0.0,10.41,37.84,1.45
2015,12,21,0.0,10.37,38.81,1.5
2015,12,22,0.0,10.48,39.88,1.55
2015,12,23,0.07,9.36,42.42,1.54
2015,12,24,0.07,7.89,50.38,2.13
2015,12,25,0.0,9.74,34.34,1.78
2015,12,26,0.0,11.51,32.75,2.19
2015,12,27,0.0,14.25,39.18,1.95
2015,12,28,0.0,14.56,45.59,1.83
2015,12,29,0.0,14.43,44.47,2.19
2015,12,30,0.0,13.43,40.06,1.59
2015,12,31,0.0,13.17,31.44,1.61
2016,1,1,0.0,12.72,33.01,1.17
2016,1,2,0.0,12.64,33.07,1.73
2016,1,3,0.0,13.69,31.55,1.73
2016,1,4,0.7,13.68,37.7,1.04
2016,1,5,0.18,14.57,47.06,1.45
2016,1,6,0.0,14.05,49.11,1.53
2016,1,7,2.97,13.31,55.1,1.38
2016,1,8,2.44,12.37,57.45,1.6
2016,1,9,0.0,11.15,53.61,2.02
2016,1,10,0.0,12.5,39.98,1.5
2016,1,11,0.0,13.02,40.15,1.34
2016,1,12,0.01,13.85,39.24,1.37
2016,1,13,1.57,12.41,46.04,1.55
2016,1,14,0.0,11.7,49.07,1.27
2016,1,15,0.0,11.16,53.75,1.49
2016,1,16,0.0,10.69,48.48,1.89
2016,1,17,0.0,11.44,42.38,1.22
2016,1,18,0.0,11.08,43.3,1.65
2016,1,19,0.48,10.46,44.37,1.59
2016,1,20,0.07,8.92,47.53,1.97
2016,1,21,0.0,8.08,34.6,1.93
2016,1,22,0.0,8.92,30.41,1.41
2016,1,23,0.0,9.58,31.95,1.65
2016,1,24,0.0,10.34,31.91,1.48
2016,1,25,0.0,10.1,35.03,1.59
2016,1,26,0.0,12.68,34.34,1.29
2016,1,27,0.0,12.73,42.17,1.56
2016,1,28,0.0,13.15,48.99,2.0
2016,1,29,8.7,14.5,46.25,1.41
2016,1,30,1.93,13.96,53.47,1.5
2016,1,31,0.83,12.6,53.01,1.65
2016,2,1,0.0,11.49,45.52,1.63
2016,2,2,0.0,11.79,41.03,1.51
2016,2,3,0.0,11.74,42.03,2.03
2016,2,4,0.0,13.81,35.44,1.54
2016,2,5,0.0,15.25,32.39,1.33
2016,2,6,0.0,14.42,32.4,1.94
2016,2,7,12.96,10.72,61.37,1.63
2016,2,8,0.0,12.23,60.38,1.63
2016,2,9,0.0,13.68,50.75,1.72
2016,2,10,0.16,13.87,42.39,1.64
2016,2,11,0.46,12.68,37.74,3.16
2016,2,12,0.01,12.42,31.97,1.62
2016,2,13,3.75,12.58,36.02,0.89
2016,2,14,0.02,12.37,40.16,1.59
2016,2,15,0.0,12.59,41.28,1.72
2016,2,16,0.0,13.88,36.42,1.79
2016,2,17,0.0,15.48,28.23,1.78
2016,2,18,0.21,18.07,35.38,1.15
2016,2,19,1.17,19.86,44.17,0.97
2016,2,20,11.37,16.14,70.68,1.28
2016,2,21,0.0,15.67,53.18,2.33
2016,2,22,0.0,16.07,35.74,2.54
2016,2,23,0.0,17.38,29.08,2.09
2016,2,24,0.0,18.89,22.1,1.64
2016,2,25,0.0,17.03,25.44,1.69
2016,2,26,0.0,17.5,27.84,1.76
2016,2,27,0.0,17.79,30.45,1.56
2016,2,28,0.0,17.97,36.38,1.44
2016,2,29,0.04,17.75,38.5,1.48
2016,3,1,0.01,18.43,38.17,1.83
2016,3,2,0.0,19.21,38.46,1.62
2016,3,3,0.0,20.85,33.79,2.25
2016,3,4,0.05,20.55,37.28,2.21
2016,3,5,5.66,18.64,46.42,1.42
2016,3,6,6.57,17.81,54.22,1.65
2016,3,7,1.96,17.46,53.48,1.72
2016,3,8,0.07,19.05,45.28,1.37
2016,3,9,0.0,18.34,46.93,1.35
2016,3,10,0.06,20.13,43.69,1.92
2016,3,11,11.28,18.78,56.96,2.07
2016,3,12,34.47,17.05,64.87,2.95
2016,3,13,14.68,15.44,77.33,1.86
2016,3,14,1.24,16.25,62.43,1.31
2016,3,15,0.0,16.25,51.92,1.98
2016,3,16,0.0,16.9,45.66,2.41
2016,3,17,10.2,17.43,55.27,2.01
2016,3,18,5.91,18.46,57.42,2.28
2016,3,19,4.08,20.75,49.53,1.4
2016,3,20,0.71,19.37,50.17,1.9
2016,3,21,0.06,16.8,47.71,3.05
2016,3,22,0.0,18.2,35.35,2.58
2016,3,23,0.0,20.43,31.92,1.99
2016,3,24,0.0,22.05,32.36,1.3
2016,3,25,0.0,23.64,38.28,1.72
2016,3,26,0.0,22.72,42.81,1.56
2016,3,27,0.96,21.44,42.49,1.81
2016,3,28,0.21,20.97,41.64,1.84
2016,3,29,0.0,21.67,41.45,1.98
2016,3,30,0.0,22.46,39.72,2.11
2016,3,31,0.0,23.3,36.88,2.17
2016,4,1,0.0,24.01,41.85,2.32
2016,4,2,0.0,26.54,41.5,1.91
2016,4,3,0.06,26.73,42.12,1.26
2016,4,4,3.38,25.89,40.79,1.67
2016,4,5,2.3,22.7,49.86,1.78
2016,4,6,4.38,23.21,41.18,1.86
2016,4,7,2.0,22.49,47.02,1.91
2016,4,8,0.22,22.59,39.39,1.57
2016,4,9,0.0,23.52,35.09,2.02
2016,4,10,0.0,23.39,37.61,2.27
2016,4,11,0.99,22.7,41.65,2.22
2016,4,12,0.03,22.43,42.82,2.87
2016,4,13,0.03,23.82,38.57,3.17
2016,4,14,0.01,25.3,32.76,2.62
2016,4,15,0.0,26.6,27.16,2.26
2016,4,16,0.0,29.15,31.88,2.39
2016,4,17,2.5,30.16,33.77,1.61
2016,4,18,3.3,28.14,40.68,1.42
2016,4,19,0.25,28.1,34.44,1.58
2016,4,20,0.0,26.93,33.13,2.55
2016,4,21,0.0,25.93,31.06,3.07
2016,4,22,4.82,25.36,41.75,1.98
2016,4,23,0.28,24.26,33.16,2.5
2016,4,24,0.0,23.99,24.69,2.52
2016,4,25,0.0,24.87,22.84,2.5
2016,4,26,0.0,26.2,21.94,2.22
2016,4,27,0.0,26.69,24.73,2.56
2016,4,28,0.0,26.96,24.89,2.65
2016,4,29,0.0,27.67,21.27,2.2
2016,4,30,0.0,27.92,19.77,2.36
2016,5,1,0.0,29.0,19.66,2.54
2016,5,2,0.0,30.9,17.86,2.11
2016,5,3,0.69,27.44,33.05,1.9
2016,5,4,2.38,29.32,33.08,2.23
2016,5,5,8.65,26.82,44.46,2.92
2016,5,6,0.77,26.16,46.83,1.98
2016,5,7,0.0,27.5,38.09,1.86
2016,5,8,0.0,29.0,37.22,1.66
2016,5,9,0.0,29.92,33.5,1.99
2016,5,10,27.87,27.89,45.92,1.71
2016,5,11,5.4,27.56,50.13,1.68
2016,5,12,0.18,28.21,42.15,2.37
2016,5,13,0.03,29.52,37.3,2.02
2016,5,14,0.16,30.29,33.11,2.69
2016,5,15,0.01,30.04,30.97,2.8
2016,5,16,0.0,30.03,27.85,2.75
2016,5,17,0.0,30.5,27.27,3.25
2016,5,18,0.0,31.74,24.53,2.47
2016,5,19,0.0,32.6,24.36,2.23
2016,5,20,0.15,32.15,25.14,2.36
2016,5,21,0.31,33.29,23.19,2.21
2016,5,22,1.49,33.3,25.29,2.34
2016,5,23,6.31,32.14,34.18,2.59
2016,5,24,9.94,27.79,55.73,2.86
2016,5,25,0.04,27.84,41.99,2.62
2016,5,26,0.0,29.56,32.0,2.29
2016,5,27,0.0,30.44,30.75,3.25
2016,5,28,1.84,30.74,32.53,2.46
2016,5,29,11.21,29.23,47.28,2.37
2016,5,30,0.6,27.76,50.72,2.7
2016,5,31,0.0,28.62,42.31,2.85
2016,6,1,0.0,30.27,39.13,2.59
2016,6,2,0.21,31.77,36.9,3.15
2016,6,3,0.87,31.48,35.72,2.4
2016,6,4,0.47,32.53,33.03,2.32
2016,6,5,4.18,33.02,30.84,1.85
2016,6,6,5.89,30.84,38.78,2.35
2016,6,7,3.85,30.19,36.67,2.05
2016,6,8,6.07,30.81,35.11,2.12
2016,6,9,4.23,31.73,32.82,2.12
2016,6,10,0.59,31.93,30.87,2.0
2016,6,11,0.55,32.02,32.84,2.24
2016,6,12,0.28,31.41,42.94,2.69
2016,6,13,0.74,31.69,44.53,2.71
2016,6,14,3.03,30.72,49.78,2.31
2016,6,15,8.77,29.82,53.94,1.88
2016,6,16,16.39,29.24,57.87,2.02
2016,6,17,0.02,30.44,46.0,1.66
2016,6,18,0.19,31.1,41.5,1.53
2016,6,19,0.65,30.94,44.53,1.74
2016,6,20,5.5,30.58,53.57,1.7
2016,6,21,8.57,29.28,60.32,1.98
2016,6,22,18.16,27.77,65.62,1.7
2016,6,23,0.46,29.76,55.52,1.74
2016,6,24,0.0,31.16,45.29,2.01
2016,6,25,2.03,31.52,42.29,1.57
2016,6,26,3.2,30.46,47.96,1.76
2016,6,27,8.7,30.16,55.61,1.44
2016,6,28,15.45,29.67,62.78,1.28
2016,6,29,0.82,31.15,55.08,1.67
2016,6,30,9.62,30.73,58.73,1.78
2016,7,1,4.7,30.69,56.78,1.65
2016,7,2,19.85,27.33,75.35,2.01
2016,7,3,13.44,26.77,74.33,1.77
2016,7,4,8.99,27.0,73.3,1.41
2016,7,5,5.91,28.45,66.96,1.8
2016,7,6,4.31,29.28,65.79,1.99
2016,7,7,0.01,29.85,56.26,2.01
2016,7,8,0.87,30.6,53.54,2.02
2016,7,9,1.88,29.97,53.2,1.49
2016,7,10,0.19,29.35,57.02,1.49
2016,7,11,4.32,29.48,56.12,1.46
2016,7,12,8.91,27.57,74.38,2.18
2016,7,13,3.99,28.7,69.25,1.91
2016,7,14,13.1,26.86,79.99,1.89
2016,7,15,8.69,26.71,80.17,1.38
2016,7,16,27.57,26.33,82.02,1.32
2016,7,17,11.44,25.89,81.13,2.06
2016,7,18,6.44,26.01,78.51,1.64
2016,7,19,1.81,26.96,68.48,2.42
2016,7,20,1.23,27.95,62.08,2.31
2016,7,21,3.74,29.19,56.16,1.48
2016,7,22,18.18,28.53,64.24,1.51
2016,7,23,20.48,26.24,75.46,1.67
2016,7,24,4.93,25.59,79.57,1.61
2016,7,25,1.1,27.1,72.92,1.46
2016,7,26,10.76,26.98,74.46,1.54
2016,7,27,13.45,25.02,84.04,2.31
2016,7,28,8.05,25.14,82.75,1.17
2016,7,29,15.57,25.22,85.63,1.84
2016,7,30,22.41,25.28,86.12,0.95
2016,7,31,22.55,25.62,81.46,1.45
2016,8,1,13.41,24.84,87.81,1.88
